Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Map,MatchID
EliGE,15 (9),3 (1),15,57.1%,0,83.4,1,1.01,Liquid,118068,Nuke,2347742
NAF,11 (3),3 (0),14,61.9%,-3,78.5,0,0.88,Liquid,118068,Nuke,2347742
FalleN,9 (4),3 (1),17,57.1%,-8,48.5,1,0.69,Liquid,118068,Nuke,2347742
Stewie2K,10 (6),1 (0),18,57.1%,-8,62.2,-2,0.61,Liquid,118068,Nuke,2347742
Grim,8 (2),1 (0),16,52.4%,-8,30.3,-1,0.52,Liquid,118068,Nuke,2347742
HEAP,20 (13),2 (0),11,81.0%,9,100.2,1,1.63,Dignitas,118068,Nuke,2347742
Lekr0,19 (12),5 (1),12,71.4%,7,102.8,2,1.53,Dignitas,118068,Nuke,2347742
f0rest,15 (8),3 (2),10,81.0%,5,67.1,0,1.26,Dignitas,118068,Nuke,2347742
hallzerk,13 (3),0 (0),11,76.2%,2,60.7,-1,1.15,Dignitas,118068,Nuke,2347742
friberg,12 (5),3 (0),10,76.2%,2,73.4,-1,1.14,Dignitas,118068,Nuke,2347742
FalleN,22 (12),8 (3),21,65.5%,1,83.8,2,1.2,Liquid,118074,Vertigo,2347742
NAF,19 (4),11 (4),20,72.4%,-1,76.3,-2,1.02,Liquid,118074,Vertigo,2347742
EliGE,16 (9),6 (1),18,58.6%,-2,68.3,0,0.96,Liquid,118074,Vertigo,2347742
Grim,18 (8),8 (1),22,58.6%,-4,73.3,-1,0.89,Liquid,118074,Vertigo,2347742
Stewie2K,19 (8),3 (1),22,62.1%,-3,64.0,-2,0.85,Liquid,118074,Vertigo,2347742
Lekr0,28 (16),8 (1),17,82.8%,11,106.1,4,1.63,Dignitas,118074,Vertigo,2347742
HEAP,27 (12),4 (0),17,79.3%,10,103.1,5,1.53,Dignitas,118074,Vertigo,2347742
f0rest,18 (13),7 (3),17,72.4%,1,68.6,0,1.05,Dignitas,118074,Vertigo,2347742
hallzerk,16 (6),6 (3),20,72.4%,-4,63.7,-2,0.95,Dignitas,118074,Vertigo,2347742
friberg,14 (3),3 (2),23,58.6%,-9,58.6,-4,0.64,Dignitas,118074,Vertigo,2347742
